service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
218833,1,1,1,1,1,0,0,20250901,20261101
211304,0,0,0,0,0,1,1,20250624,20261101
219935,1,1,1,1,1,0,0,20250901,20261101
219232,0,0,0,0,0,1,1,20250815,20261101
218835,1,1,1,1,1,0,0,20250901,20261101
215955,0,0,0,0,0,1,1,20250624,20261101
223762,1,1,1,1,1,0,0,20251103,20261101
219928,1,1,1,1,1,0,0,20250901,20261101
211310,0,0,0,0,0,1,1,20250624,20261101
220357,1,1,1,1,1,0,0,20250901,20261101
220360,1,1,1,1,1,0,0,20250901,20261101
220007,0,0,0,0,0,1,1,20250906,20261101
219104,1,1,1,1,1,0,0,20250901,20261101
219103,1,1,1,1,1,0,0,20250901,20261101
226037,0,0,0,0,0,1,1,20251122,20261101
226035,1,1,1,1,1,0,0,20251119,20261101
226036,1,1,1,1,1,0,0,20251119,20261101
221816,1,1,1,1,1,0,0,20251103,20261101
221895,0,0,0,0,0,1,1,20251101,20261101
218842,1,1,1,1,1,0,0,20250901,20261101
216265,0,0,0,0,0,1,1,20250624,20261101
218843,1,1,1,1,1,0,0,20250901,20261101
224095,0,0,0,0,0,1,0,20251108,20261101
224094,0,0,0,0,1,0,0,20251031,20261101
224163,0,0,0,1,0,0,0,20251030,20261101
224092,0,0,1,0,0,0,0,20251029,20261101
224091,0,1,0,0,0,0,0,20251028,20261101
224090,1,0,0,0,0,0,0,20251027,20261101
224096,0,0,0,0,0,0,1,20251026,20261101
223900,1,1,1,1,1,0,0,20251027,20261101
221896,1,1,1,1,1,0,0,20251103,20261101
220003,1,1,1,1,1,0,0,20250901,20261101
215438,0,0,0,0,0,1,1,20250624,20261101
210719,1,1,1,1,1,0,0,20250422,20261101
211166,0,0,0,0,0,1,1,20250419,20261101
221897,1,1,1,1,1,0,0,20251103,20261101
223759,0,0,0,0,0,1,1,20251101,20261101
221899,1,1,1,1,1,0,0,20251103,20261101
182602,0,0,0,0,0,1,1,20240203,20261101
221900,1,1,1,1,1,0,0,20251103,20261101
224308,1,1,1,1,1,0,0,20251103,20261101
221902,0,0,0,0,0,1,1,20251101,20261101
221903,1,1,1,1,1,0,0,20251103,20261101
221904,0,0,0,0,0,1,1,20251101,20261101
221976,0,0,0,0,0,1,1,20251108,20261101
221906,1,1,1,1,1,0,0,20251103,20261101
224307,1,1,1,1,1,0,0,20251103,20261101
221979,0,0,0,0,0,1,1,20251101,20261101
218853,1,1,1,1,1,0,0,20250901,20261101
220137,1,1,1,1,1,0,0,20250901,20261101
226602,1,1,1,1,1,0,0,20251126,20251126
220610,1,1,1,1,1,0,0,20250901,20261101
192453,0,0,0,0,0,1,1,20240629,20261101
220464,0,0,0,0,0,1,1,20250906,20261101
218856,1,1,1,1,1,0,0,20250901,20261101
221106,1,1,1,1,1,0,0,20250929,20261101
219235,0,0,0,0,0,1,1,20250815,20261101
211774,1,1,1,1,1,0,0,20250411,20261101
174882,0,0,0,0,0,1,1,20230624,20261101
220361,1,1,1,1,1,0,0,20250901,20261101
182209,0,0,0,0,0,1,1,20240203,20261101
181917,1,1,1,1,1,0,0,20240129,20261101
181918,0,0,0,0,0,1,1,20240203,20261101
181916,0,0,0,0,0,1,1,20240203,20261101
181915,1,1,1,1,1,0,0,20240129,20261101
225654,0,0,0,0,0,1,1,20251115,20261101
225653,1,1,1,1,1,0,0,20251110,20261101
221980,1,1,1,1,1,0,0,20251103,20261101
221981,0,0,0,0,0,1,1,20251101,20261101
221982,1,1,1,1,1,0,0,20251103,20261101
221983,0,0,0,0,0,1,1,20251101,20261101
194178,0,0,0,0,0,1,1,20240727,20261101
221977,1,1,1,1,1,0,0,20250929,20261101
206751,0,0,0,0,0,1,1,20250208,20261101
221984,1,1,1,1,1,0,0,20251103,20261101
216025,0,0,0,0,0,1,1,20250624,20261101
218863,1,1,1,1,1,0,0,20250901,20261101
192295,0,0,0,0,0,1,1,20240629,20261101
218864,1,1,1,1,1,0,0,20250901,20261101
215885,0,0,0,0,0,1,1,20250624,20261101
226238,0,0,0,0,0,1,1,20251122,20261101
220358,1,1,1,1,1,0,0,20250901,20261101
202021,1,1,1,1,1,0,0,20241118,20261101
185405,0,0,0,0,0,1,1,20240501,20261101
221041,0,0,0,0,0,1,1,20251004,20261101
221039,1,1,1,1,1,0,0,20250929,20261101
223766,1,1,1,1,1,0,0,20251103,20261101
220365,0,0,0,0,0,1,1,20250906,20261101
223835,1,1,1,1,1,0,0,20251103,20261101
223765,1,1,1,1,1,0,0,20251103,20261101
220366,0,0,0,0,0,1,1,20250906,20261101
220368,0,0,0,0,0,1,1,20250906,20261101
218767,1,1,1,1,1,0,0,20250901,20261101
219750,0,0,0,0,0,1,1,20250906,20261101
218762,1,1,1,1,1,0,0,20250901,20261101
224164,1,1,1,1,1,0,0,20251103,20261101
223209,0,0,0,0,0,1,1,20251101,20261101
220369,0,0,0,0,0,1,1,20250906,20261101
218763,1,1,1,1,1,0,0,20250901,20261101
218697,1,1,1,1,1,0,0,20250901,20261101
219751,0,0,0,0,0,1,1,20250906,20261101
220370,0,0,0,0,0,1,1,20250906,20261101
218696,1,1,1,1,1,0,0,20250901,20261101
218625,0,0,0,0,0,1,1,20250906,20261101
218764,1,1,1,1,1,0,0,20250901,20261101
219555,0,0,0,0,0,1,1,20250906,20261101
218694,1,1,1,1,1,0,0,20250901,20261101
219557,0,0,0,0,0,1,1,20250906,20261101
218695,1,1,1,1,1,0,0,20250901,20261101
223346,1,1,1,1,1,0,0,20251103,20261101
