service_id,date,exception_type
220610,20251126,2
218833,20260401,2
218833,20260101,2
218833,20260216,2
218833,20260311,2
218833,20260501,2
218833,20260624,2
218833,20260706,2
218833,20260815,2
218833,20261101,2
218833,20251224,2
218833,20251225,2
218833,20251226,2
211304,20260401,1
211304,20260101,1
211304,20260216,1
211304,20260311,1
211304,20260501,1
211304,20260624,1
211304,20260706,1
211304,20260815,1
211304,20261101,1
211304,20251224,1
211304,20251225,1
211304,20251226,1
219935,20260401,2
219935,20260101,2
219935,20260216,2
219935,20260311,2
219935,20260501,2
219935,20260624,2
219935,20260706,2
219935,20260815,2
219935,20261101,2
219935,20251224,2
219935,20251225,2
219935,20251226,2
219232,20260401,1
219232,20260101,1
219232,20260216,1
219232,20260311,1
219232,20260501,1
219232,20260624,1
219232,20260706,1
219232,20260815,1
219232,20261101,1
219232,20251224,1
219232,20251225,1
219232,20251226,1
218835,20260401,2
218835,20260101,2
218835,20260216,2
218835,20260311,2
218835,20260501,2
218835,20260624,2
218835,20260706,2
218835,20260815,2
218835,20261101,2
218835,20251224,2
218835,20251225,2
218835,20251226,2
215955,20260401,1
215955,20260101,1
215955,20260216,1
215955,20260311,1
215955,20260501,1
215955,20260624,1
215955,20260706,1
215955,20260815,1
215955,20261101,1
215955,20251224,1
215955,20251225,1
215955,20251226,1
223762,20260401,2
223762,20260101,2
223762,20260216,2
223762,20260311,2
223762,20260501,2
223762,20260624,2
223762,20260706,2
223762,20260815,2
223762,20261101,2
223762,20251224,2
223762,20251225,2
223762,20251226,2
219928,20260401,2
219928,20260101,2
219928,20260216,2
219928,20260311,2
219928,20260501,2
219928,20260624,2
219928,20260706,2
219928,20260815,2
219928,20261101,2
219928,20251224,2
219928,20251225,2
219928,20251226,2
211310,20260401,1
211310,20260101,1
211310,20260216,1
211310,20260311,1
211310,20260501,1
211310,20260624,1
211310,20260706,1
211310,20260815,1
211310,20261101,1
211310,20251224,1
211310,20251225,1
211310,20251226,1
220357,20260401,2
220357,20260101,2
220357,20260216,2
220357,20260311,2
220357,20260501,2
220357,20260624,2
220357,20260706,2
220357,20260815,2
220357,20261101,2
220357,20251224,2
220357,20251225,2
220357,20251226,2
220360,20260401,2
220360,20260101,2
220360,20260216,2
220360,20260311,2
220360,20260501,2
220360,20260624,2
220360,20260706,2
220360,20260815,2
220360,20261101,2
220360,20251224,2
220360,20251225,2
220360,20251226,2
220007,20260401,1
220007,20260101,1
220007,20260216,1
220007,20260311,1
220007,20260501,1
220007,20260624,1
220007,20260706,1
220007,20260815,1
220007,20261101,1
220007,20251224,1
220007,20251225,1
220007,20251226,1
219104,20260401,2
219104,20260101,2
219104,20260216,2
219104,20260311,2
219104,20260501,2
219104,20260624,2
219104,20260706,2
219104,20260815,2
219104,20261101,2
219104,20251224,2
219104,20251225,2
219104,20251226,2
219103,20260401,2
219103,20260101,2
219103,20260216,2
219103,20260311,2
219103,20260501,2
219103,20260624,2
219103,20260706,2
219103,20260815,2
219103,20261101,2
219103,20251224,2
219103,20251225,2
219103,20251226,2
226037,20260401,1
226037,20260101,1
226037,20260216,1
226037,20260311,1
226037,20260501,1
226037,20260624,1
226037,20260706,1
226037,20260815,1
226037,20261101,1
226037,20251224,1
226037,20251225,1
226037,20251226,1
226035,20260401,2
226035,20260101,2
226035,20260216,2
226035,20260311,2
226035,20260501,2
226035,20260624,2
226035,20260706,2
226035,20260815,2
226035,20261101,2
226035,20251224,2
226035,20251225,2
226035,20251226,2
226036,20260401,2
226036,20260101,2
226036,20260216,2
226036,20260311,2
226036,20260501,2
226036,20260624,2
226036,20260706,2
226036,20260815,2
226036,20261101,2
226036,20251224,2
226036,20251225,2
226036,20251226,2
221816,20260401,2
221816,20260101,2
221816,20260216,2
221816,20260311,2
221816,20260501,2
221816,20260624,2
221816,20260706,2
221816,20260815,2
221816,20261101,2
221816,20251224,2
221816,20251225,2
221816,20251226,2
221895,20260401,1
221895,20260101,1
221895,20260216,1
221895,20260311,1
221895,20260501,1
221895,20260624,1
221895,20260706,1
221895,20260815,1
221895,20261101,1
221895,20251224,1
221895,20251225,1
221895,20251226,1
218842,20260401,2
218842,20260101,2
218842,20260216,2
218842,20260311,2
218842,20260501,2
218842,20260624,2
218842,20260706,2
218842,20260815,2
