stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
17645,,"Elevatorius",,54.88636,23.91016,https://www.stops.lt/kaunas/index.html#stop/1168,,
17529,,"H. ir O. Minkovskių g.",,54.89171,23.89603,https://www.stops.lt/kaunas/index.html#stop/2030,,
17644,,"Malūnas",,54.88821,23.90488,https://www.stops.lt/kaunas/index.html#stop/1167,,
16220,,"Lazdynėlių g. A",,54.93508,23.87902,https://www.stops.lt/kaunas/index.html#stop/936,,
16218,,"Lazdynėlių g. B",,54.93518,23.87821,https://www.stops.lt/kaunas/index.html#stop/935,,
14803,,"Lazdynėlių g. C",,54.93531,23.87867,https://www.stops.lt/kaunas/index.html#stop/3019,,
16213,,"A. Šapokos g. B",,54.93567,23.86181,https://www.stops.lt/kaunas/index.html#stop/931,,
16413,,"A. Žmuidzinavičiaus g. A",,54.93867,23.85841,https://www.stops.lt/kaunas/index.html#stop/949,,
16214,,"K. Čerbulėno g. A",,54.93630,23.86088,https://www.stops.lt/kaunas/index.html#stop/932,,
15103,,"Pėsčiųjų tiltas B",,54.93386,23.93002,https://www.stops.lt/kaunas/index.html#stop/812,,
15123,,"Aukštutinių Kaniūkų g. A",,54.92605,23.80288,https://www.stops.lt/kaunas/index.html#stop/816,,
15122,,"Aukštutinių Kaniūkų g. B",,54.92608,23.80350,https://www.stops.lt/kaunas/index.html#stop/815,,
17514,,"A. Šapokos g. A",,54.93520,23.86332,https://www.stops.lt/kaunas/index.html#stop/1143,,
16217,,"B. Brazdžionio g. A",,54.93785,23.86974,https://www.stops.lt/kaunas/index.html#stop/934,,
16216,,"B. Brazdžionio g. B",,54.93771,23.86865,https://www.stops.lt/kaunas/index.html#stop/933,,
15507,,"Keleivių išlaipinimo aikštelė",,54.91611,23.86003,https://www.stops.lt/kaunas/index.html#stop/5001,,
15596,,"Rietavo g.",,54.93127,23.88919,https://www.stops.lt/kaunas/index.html#stop/863,,
15203,,"Biruliškių g.",,54.90738,24.02360,https://www.stops.lt/kaunas/index.html#stop/832,,
15747,,"Lygioji g. A",,54.87232,23.89814,https://www.stops.lt/kaunas/index.html#stop/883,,
15748,,"Lygioji g. B",,54.87289,23.89757,https://www.stops.lt/kaunas/index.html#stop/884,,
16664,,"Prezidento V. Adamkaus gimnazija C",,54.86703,23.90142,https://www.stops.lt/kaunas/index.html#stop/1130,,
16067,,"Žiedų g.",,54.86616,23.90047,https://www.stops.lt/kaunas/index.html#stop/1140,,
16211,,"A. Žmuidzinavičiaus g. B",,54.93872,23.85789,https://www.stops.lt/kaunas/index.html#stop/930,,
15133,,"Bivylių g. A",,54.93530,23.81707,https://www.stops.lt/kaunas/index.html#stop/822,,
15134,,"Bivylių g. B",,54.93525,23.81743,https://www.stops.lt/kaunas/index.html#stop/823,,
16207,,"Chodkevičių g. A",,54.93555,23.82315,https://www.stops.lt/kaunas/index.html#stop/927,,
16206,,"Chodkevičių g. B",,54.93545,23.82295,https://www.stops.lt/kaunas/index.html#stop/926,,
16371,,"Knygnešių g. A",,54.93769,23.84975,https://www.stops.lt/kaunas/index.html#stop/945,,
16372,,"Knygnešių g. B",,54.93770,23.84876,https://www.stops.lt/kaunas/index.html#stop/946,,
16221,,"Liucijanavos g. C",,54.93550,23.83056,https://www.stops.lt/kaunas/index.html#stop/937,,
15165,,"Paltiškių g. A",,54.93611,23.82935,https://www.stops.lt/kaunas/index.html#stop/827,,
15164,,"Paltiškių g. B",,54.93607,23.82878,https://www.stops.lt/kaunas/index.html#stop/826,,
16209,,"S. Banaičio g. A",,54.93691,23.84302,https://www.stops.lt/kaunas/index.html#stop/929,,
16208,,"S. Banaičio g. B",,54.93681,23.84121,https://www.stops.lt/kaunas/index.html#stop/928,,
16550,,"Brastos g. A",,54.90386,23.87405,https://www.stops.lt/kaunas/index.html#stop/964,,
15076,,"Brastos g. B",,54.90396,23.87419,https://www.stops.lt/kaunas/index.html#stop/808,,
16794,,"Piliamiestis A",,54.90318,23.87952,https://www.stops.lt/kaunas/index.html#stop/966,,
16793,,"Piliamiestis B",,54.90331,23.87932,https://www.stops.lt/kaunas/index.html#stop/965,,
15701,,"Chemijos g. A",,54.89996,23.99958,https://www.stops.lt/kaunas/index.html#stop/873,,
16458,,"Svirplių takas A",,54.89591,24.00631,https://www.stops.lt/kaunas/index.html#stop/872,,
15764,,"Svirplių takas B",,54.89577,24.00625,https://www.stops.lt/kaunas/index.html#stop/885,,
16095,,"E. Volterio g. A",,54.94176,23.80131,https://www.stops.lt/kaunas/index.html#stop/908,,
17323,,"Klinikos A",,54.91736,23.92083,https://www.stops.lt/kaunas/index.html#stop/522,,
17324,,"Klinikos B",,54.91730,23.92081,https://www.stops.lt/kaunas/index.html#stop/688,,
15545,,"Skubios pagalbos centras",,54.92092,23.92029,https://www.stops.lt/kaunas/index.html#stop/854,,
15840,,"Amalė A",,54.91300,24.01606,https://www.stops.lt/kaunas/index.html#stop/898,,
15839,,"Amalė B",,54.91285,24.01679,https://www.stops.lt/kaunas/index.html#stop/897,,
15638,,"Urmo turgaus aikštelė",,54.91697,23.99822,https://www.stops.lt/kaunas/index.html#stop/856n,,
15208,,"Biurų centras",,54.93988,23.88612,https://www.stops.lt/kaunas/index.html#stop/833,,
14799,,"Rokakiemio g. A",,54.84033,23.94705,https://www.stops.lt/kaunas/index.html#stop/1010,,
16239,,"Vilties g. A",,54.87319,23.91537,https://www.stops.lt/kaunas/index.html#stop/162,,
14371,,"Jiesios pl. C",,54.85635,23.94222,https://www.stops.lt/kaunas/index.html#stop/794,,
15741,,"Jonučių g.",,54.85857,23.87179,https://www.stops.lt/kaunas/index.html#stop/877,,
15473,,"Pakalnės g. D",,54.88009,23.86887,https://www.stops.lt/kaunas/index.html#stop/849,,
15400,,"Suvalkiečių g. A",,54.87401,23.87510,https://www.stops.lt/kaunas/index.html#stop/844,,
15399,,"Suvalkiečių g. B",,54.87452,23.87428,https://www.stops.lt/kaunas/index.html#stop/843,,
15746,,"Mokolų g. A",,54.86430,23.87183,https://www.stops.lt/kaunas/index.html#stop/882,,
15745,,"Mokolų g. B",,54.86457,23.87196,https://www.stops.lt/kaunas/index.html#stop/881,,
16172,,"Naujadvario g. A",,54.85953,23.86330,https://www.stops.lt/kaunas/index.html#stop/918,,
16173,,"Naujadvario g. B",,54.85952,23.86309,https://www.stops.lt/kaunas/index.html#stop/919,,
16468,,"Tirkiliškiai",,54.85810,23.85692,https://www.stops.lt/kaunas/index.html#stop/920,,
16192,,"Tirkiliškių g. A",,54.86218,23.86888,https://www.stops.lt/kaunas/index.html#stop/923,,
16193,,"Tirkiliškių g. B",,54.86217,23.86861,https://www.stops.lt/kaunas/index.html#stop/924,,
2956,,"Kėdainių g. C",,54.90762,23.87516,https://www.stops.lt/kaunas/index.html#stop/678,,
14458,,"Kėdainių g. D",,54.90765,23.87573,https://www.stops.lt/kaunas/index.html#stop/1002,,
17311,,"Pamario g. A",,54.91556,24.07168,https://www.stops.lt/kaunas/index.html#stop/1096,,
17310,,"Pamario g. B",,54.91540,24.07165,https://www.stops.lt/kaunas/index.html#stop/1095,,
15618,,"Kleboniškio miško parkas A",,54.95043,23.93157,https://www.stops.lt/kaunas/index.html#stop/867,,
15975,,"Aluonos g. B",,54.94565,23.82879,https://www.stops.lt/kaunas/index.html#stop/900,,
15129,,"Liucijanavos g. A",,54.94781,23.82848,https://www.stops.lt/kaunas/index.html#stop/819,,
15177,,"Liucijanavos g. B",,54.94789,23.82861,https://www.stops.lt/kaunas/index.html#stop/830,,
15167,,"Šilagirio g. A",,54.94249,23.82888,https://www.stops.lt/kaunas/index.html#stop/828,,
15168,,"Šilagirio g. B",,54.94163,23.82909,https://www.stops.lt/kaunas/index.html#stop/829,,
15130,,"Vijūkų g. C",,54.93792,23.83046,https://www.stops.lt/kaunas/index.html#stop/820,,
15131,,"Vijūkų g. D",,54.93795,23.83058,https://www.stops.lt/kaunas/index.html#stop/821,,
17277,,"E. Levino g.",,54.94388,23.82131,https://www.stops.lt/kaunas/index.html#stop/1138,,
17281,,"Gaižuvėlės akligatvis",,54.94282,23.81551,https://www.stops.lt/kaunas/index.html#stop/1139,,
17612,,"Kraigo g. A",,54.94433,23.82393,https://www.stops.lt/kaunas/index.html#stop/1165,,
17611,,"Kraigo g. B",,54.94449,23.82485,https://www.stops.lt/kaunas/index.html#stop/1164,,
14993,,"M. ir P. Šalčių g. A",,54.94342,23.80699,https://www.stops.lt/kaunas/index.html#stop/795,,
17508,,"M. ir P. Šalčių g. B",,54.94316,23.80509,https://www.stops.lt/kaunas/index.html#stop/1141,,
14994,,"Romainiškių g. A",,54.94479,23.81141,https://www.stops.lt/kaunas/index.html#stop/796,,
14995,,"Romainiškių g. B",,54.94494,23.81156,https://www.stops.lt/kaunas/index.html#stop/797,,
4378,,"Geležinkelio stotis E",,54.88752,23.93370,https://www.stops.lt/kaunas/index.html#stop/237,,
16518,,"Jazminų g. A",,54.90453,24.04243,https://www.stops.lt/kaunas/index.html#stop/962,,
16517,,"Jazminų g. B",,54.90467,24.04382,https://www.stops.lt/kaunas/index.html#stop/961,,
16501,,"Marių g. A",,54.90111,24.03683,https://www.stops.lt/kaunas/index.html#stop/960,,
16500,,"Marių g. B",,54.90167,24.03758,https://www.stops.lt/kaunas/index.html#stop/959,,
2910,,"Neveronių g. A",,54.92009,24.07649,https://www.stops.lt/kaunas/index.html#stop/632,,
17414,,"Merkio g.",,54.91419,24.05197,https://www.stops.lt/kaunas/index.html#stop/1112,,
15082,,"Upytės g. A",,54.90738,24.04256,https://www.stops.lt/kaunas/index.html#stop/809,,
15083,,"Upytės g. B",,54.90800,24.04362,https://www.stops.lt/kaunas/index.html#stop/810,,
15332,,"Užupio g. A",,54.91174,24.04696,https://www.stops.lt/kaunas/index.html#stop/839,,
15333,,"Užupio g. B",,54.91141,24.04693,https://www.stops.lt/kaunas/index.html#stop/840,,
15160,,"Medekšinės g. A",,54.92883,23.81096,https://www.stops.lt/kaunas/index.html#stop/825,,
15159,,"Medekšinės g. B",,54.92869,23.81110,https://www.stops.lt/kaunas/index.html#stop/824,,
15125,,"Paštuvos g. A",,54.92980,23.80688,https://www.stops.lt/kaunas/index.html#stop/818,,
15124,,"Paštuvos g. B",,54.92970,23.80667,https://www.stops.lt/kaunas/index.html#stop/817,,
16182,,"Pilviškių g. B",,54.86450,23.88197,https://www.stops.lt/kaunas/index.html#stop/921,,
14370,,"Jiesios pl. B",,54.85555,23.94321,https://www.stops.lt/kaunas/index.html#stop/793,,
15383,,"Rambyno g. A",,54.88942,23.94413,https://www.stops.lt/kaunas/index.html#stop/841,,
15601,,"Rambyno g. B",,54.88883,23.94274,https://www.stops.lt/kaunas/index.html#stop/865,,
15628,,"Jūros g.",,54.90850,23.86586,https://www.stops.lt/kaunas/index.html#stop/869,,
14622,,"Kaniūkai D",,54.91948,23.82979,https://www.stops.lt/kaunas/index.html#stop/2003,,
16916,,"Kaniūkai išlaipinimas",,54.91934,23.82993,https://www.stops.lt/kaunas/index.html#stop/2006,,
16408,,"Rokelių g. A",,54.84456,23.96861,https://www.stops.lt/kaunas/index.html#stop/948,,
16386,,"Rokelių g. B",,54.84432,23.96859,https://www.stops.lt/kaunas/index.html#stop/947,,
17317,,"Spindulio g.",,54.84145,23.97129,https://www.stops.lt/kaunas/index.html#stop/1097,,
