service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,info
465819,0,0,0,0,1,1,0,20250901,20261101,""
465824,0,0,0,0,1,1,0,20250901,20261101,""
463666,0,0,0,0,1,1,0,20250813,20261101,""
466527,0,0,0,0,1,1,0,20250901,20261101,""
465820,0,0,0,0,1,1,0,20250901,20261101,""
466528,0,0,0,0,1,1,0,20250901,20261101,""
466529,0,0,0,0,1,1,0,20250901,20261101,""
466530,0,0,0,0,1,1,0,20250901,20261101,""
465823,0,0,0,0,1,1,0,20250901,20261101,""
465654,1,1,1,1,1,0,0,20250901,20261101,""
465655,0,0,0,0,0,1,1,20250901,20261101,""
475986,0,0,0,0,0,1,0,20251129,20251129,""
465641,1,1,1,1,1,0,0,20250901,20261101,""
465642,0,0,0,0,0,1,1,20250901,20261101,""
474654,1,1,1,1,1,0,0,20251117,20261101,""
474655,1,1,1,1,1,0,0,20251117,20261101,""
465657,0,0,0,0,0,1,1,20250901,20261101,""
471443,1,1,1,1,1,0,0,20251020,20261101,""
465644,0,0,0,0,0,1,0,20250901,20261101,""
465645,0,0,0,0,0,0,1,20250901,20261101,""
474657,0,0,0,0,0,1,1,20251115,20261101,""
471596,1,1,1,1,1,0,0,20251020,20261101,""
475987,0,0,0,0,0,1,0,20251129,20251129,""
472385,1,1,1,1,1,0,0,20251027,20261101,""
465647,0,0,0,0,0,1,1,20250901,20261101,""
474656,0,0,0,0,0,1,1,20251115,20261101,""
465648,1,1,1,1,1,0,0,20250901,20261101,""
465649,0,0,0,0,0,1,1,20250901,20261101,""
472386,1,1,1,1,1,0,0,20251027,20261101,""
465663,0,0,0,0,0,1,1,20250901,20261101,""
471444,1,1,1,1,1,0,0,20251020,20261101,""
465651,0,0,0,0,0,1,1,20250901,20261101,""
475421,0,0,0,0,0,1,0,20251129,20251129,""
475419,0,0,0,0,0,1,1,20251122,20261101,""
475200,1,1,1,1,1,0,0,20251119,20261101,""
470795,1,1,1,1,1,0,0,20251013,20261101,""
470796,0,0,0,0,0,1,1,20251013,20261101,""
465966,1,1,1,1,1,0,0,20250901,20261101,""
465667,0,0,0,0,0,1,1,20250901,20261101,""
471448,1,1,1,1,1,0,0,20251020,20261101,""
465967,0,0,0,0,0,1,1,20250901,20261101,""
475424,0,0,0,0,0,1,0,20251129,20251129,""
465670,1,1,1,1,1,0,0,20250901,20261101,""
465968,0,0,0,0,0,1,1,20250901,20261101,""
475431,0,0,0,0,0,1,0,20251129,20251129,""
465672,1,1,1,1,1,0,0,20250901,20261101,""
465673,0,0,0,0,0,1,1,20250901,20261101,""
471449,1,1,1,1,1,0,0,20251020,20261101,""
465675,0,0,0,0,0,1,1,20250901,20261101,""
471450,1,1,1,1,1,0,0,20251020,20261101,""
473781,1,1,1,1,1,0,0,20251110,20261101,""
473776,0,0,0,0,0,1,1,20251108,20261101,""
465678,1,1,1,1,1,0,0,20250901,20261101,""
465679,0,0,0,0,0,1,1,20250901,20261101,""
473777,0,0,0,0,0,1,1,20251108,20261101,""
471599,1,1,1,1,1,0,0,20251020,20261101,""
465683,0,0,0,0,0,1,1,20250901,20261101,""
470006,1,1,1,1,1,0,0,20251006,20261101,""
470007,0,0,0,0,0,1,1,20251006,20261101,""
471611,1,1,1,1,1,0,0,20251020,20261101,""
465687,0,0,0,0,0,1,1,20250901,20261101,""
473223,1,1,1,1,1,0,0,20251103,20261101,""
465689,0,0,0,0,0,1,1,20250901,20261101,""
473782,1,1,1,1,1,0,0,20251110,20261101,""
471939,0,0,0,0,0,1,1,20251025,20261101,""
465692,1,1,1,1,1,0,0,20250901,20261101,""
465693,0,0,0,0,0,1,1,20250901,20261101,""
475422,0,0,0,0,0,1,0,20251129,20251129,""
465694,1,1,1,1,1,0,0,20250901,20261101,""
465695,0,0,0,0,0,1,1,20250901,20261101,""
471452,1,1,1,1,1,0,0,20251020,20261101,""
465697,0,0,0,0,0,1,1,20250901,20261101,""
465961,1,1,1,1,1,0,0,20250901,20261101,""
465699,0,0,0,0,0,1,1,20250901,20261101,""
473778,0,0,0,0,0,1,1,20251108,20261101,""
465700,1,1,1,1,1,0,0,20250901,20261101,""
471453,1,1,1,1,1,0,0,20251020,20261101,""
465703,0,0,0,0,0,1,1,20250901,20261101,""
473783,1,1,1,1,1,0,0,20251110,20261101,""
473779,0,0,0,0,0,1,1,20251108,20261101,""
473653,1,1,1,1,1,0,0,20251105,20261101,""
465707,0,0,0,0,0,1,1,20250901,20261101,""
475544,1,1,1,1,1,0,0,20251124,20261101,""
475545,0,0,0,0,0,1,1,20251124,20261101,""
471612,1,1,1,1,1,0,0,20251020,20261101,""
465711,0,0,0,0,0,1,1,20250901,20261101,""
475198,1,1,1,1,1,0,0,20251119,20261101,""
475199,0,0,0,0,0,1,1,20251119,20261101,""
475990,0,0,0,0,0,1,0,20251129,20251129,""
471456,1,1,1,1,1,0,0,20251020,20261101,""
471457,0,0,0,0,0,1,1,20251020,20261101,""
465716,1,1,1,1,1,0,0,20250901,20261101,""
465717,0,0,0,0,0,1,1,20250901,20261101,""
471613,1,1,1,1,1,0,0,20251020,20261101,""
465719,0,0,0,0,0,1,1,20250901,20261101,""
473225,1,1,1,1,1,0,0,20251103,20261101,""
465721,0,0,0,0,0,1,1,20250901,20261101,""
465722,1,1,1,1,1,0,0,20250901,20261101,""
465723,0,0,0,0,0,1,1,20250901,20261101,""
473784,1,1,1,1,1,0,0,20251110,20261101,""
465725,0,0,0,0,0,1,1,20250901,20261101,""
470010,1,1,1,1,1,0,0,20251006,20261101,""
470011,0,0,0,0,0,1,1,20251006,20261101,""
475309,1,1,1,1,1,0,0,20251120,20261101,""
475310,0,0,0,0,0,1,1,20251120,20261101,""
473785,1,1,1,1,1,0,0,20251110,20261101,""
465731,0,0,0,0,0,1,1,20250901,20261101,""
471461,1,1,1,1,1,0,0,20251020,20261101,""
465733,0,0,0,0,0,1,1,20250901,20261101,""
471603,1,1,1,1,1,0,0,20251020,20261101,""
465735,0,0,0,0,0,1,1,20250901,20261101,""
465736,1,1,1,1,1,0,0,20250901,20261101,""
465737,0,0,0,0,0,1,1,20250901,20261101,""
465738,1,1,1,1,1,0,0,20250901,20261101,""
465739,0,0,0,0,0,1,1,20250901,20261101,""
473090,0,0,0,0,0,1,1,20251101,20261101,""
472393,1,1,1,1,1,0,0,20251027,20261101,""
465742,1,1,1,1,1,0,0,20250901,20261101,""
465743,0,0,0,0,0,1,1,20250901,20261101,""
470797,1,1,1,1,1,0,0,20251013,20261101,""
465745,0,0,0,0,0,1,1,20250901,20261101,""
473080,1,1,1,1,1,0,0,20251101,20261101,""
473216,0,0,0,0,0,1,1,20251101,20261101,""
475988,0,0,0,0,0,1,0,20251129,20251129,""
471597,1,1,1,1,1,0,0,20251020,20261101,""
471598,0,0,0,0,0,1,1,20251020,20261101,""
475546,1,1,1,1,1,0,0,20251124,20261101,""
475547,0,0,0,0,0,1,1,20251124,20261101,""
471604,1,1,1,1,1,0,0,20251020,20261101,""
465753,0,0,0,0,0,1,1,20250901,20261101,""
471464,1,1,1,1,1,0,0,20251020,20261101,""
465755,0,0,0,0,0,1,1,20250901,20261101,""
473786,1,1,1,1,1,0,0,20251110,20261101,""
467441,0,0,0,0,0,1,1,20250911,20261101,""
475201,1,1,1,1,1,0,0,20251119,20261101,""
465759,0,0,0,0,0,1,1,20250901,20261101,""
475202,1,1,1,1,1,0,0,20251119,20261101,""
465760,1,1,1,1,1,0,0,20250901,20261101,""
465761,0,0,0,0,0,1,1,20250901,20261101,""
473787,1,1,1,1,1,0,0,20251110,20261101,""
